Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/µL),pg/µL,Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Copies/uL linked molecules,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmaAbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Ch3+Ch4+,Ch3+Ch4-,Ch3-Ch4+,Ch3-Ch4-,Ch5+Ch6+,Ch5+Ch6-,Ch5-Ch6+,Ch5-Ch6-
A01,Positive_controls,,,,1,No Call,,CHECK,Automatic Analysis Unsuccessful,DQ,PosCtrl,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,,,,,19708,0,19708,0,,,,,,,,,,,,,,,,,,,,,,,,,13995.7367551605,13995.7367551605,,,,,,,,,,,,,,,,,,,No,0,0,0,19708,0,0,0,0,0,0,0,0
A01,Positive_controls,,,,2,No Call,,CHECK,Automatic Analysis Unsuccessful,DQ,PosCtrl,Unknown,ddPCR Supermix for Probes (No dUTP),HEX,,,,,,19708,0,19708,0,,,,,,,,,,,,,,,,,,,,,,,,,13925.9259976913,13925.9259976913,,,,,,,,,,,,,,,,,,,No,0,0,0,19708,0,0,0,0,0,0,0,0
A02,NTC,,,,1,0.464608669281006,,OK,,DQ,NTC,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,9.29217338562012,,,0.904950618743896,0.19737134873867,18955,7,18948,0,,,,,,,,1377.88232421875,,,,,,,,,,,,,,,,2143.70696149554,1234.24224386443,1234.57810527426,,,,,0.664575934410095,0.30947670340538,,,,,,,,,,,,,No,0,7,0,18948,0,0,0,0,0,0,0,0
A02,NTC,,,,2,No Call,,CHECK,Automatic Analysis Unsuccessful,DQ,NTC,Unknown,ddPCR Supermix for Probes (No dUTP),HEX,,,,,,18955,0,18955,0,,,,,,,,,,,,,,,,,,,,,,,,,2486.78357726358,2486.78357726358,,,,,,,,,,,,,,,,,,,No,0,7,0,18948,0,0,0,0,0,0,0,0
A03,Water_control,,,,1,0.259633958339691,,OK,,DQ,NegCtrl,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,5.1926794052124,,,0.612237751483917,0.0783388987183571,19381,4,19377,0,,,,,,,,1237.50378417969,,,,,,,,,,,,,,,,3345.92855834961,1086.92117496515,1087.3874063017,,,,,0.41472589969635,0.149088233709335,,,,,,,,,,,,,No,0,4,0,19377,0,0,0,0,0,0,0,0
A03,Water_control,,,,2,No Call,,CHECK,Automatic Analysis Unsuccessful,DQ,NegCtrl,Unknown,ddPCR Supermix for Probes (No dUTP),HEX,,,,,,19381,0,19381,0,,,,,,,,,,,,,,,,,,,,,,,,,2162.16866894899,2162.16866894899,,,,,,,,,,,,,,,,,,,No,0,4,0,19377,0,0,0,0,0,0,0,0
A04,Water_control,,,,1,No Call,,CHECK,Automatic Analysis Unsuccessful,DQ,NegCtrl,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,,,,,20175,0,20175,0,,,,,,,,,,,,,,,,,,,,,,,,,1058.15578087789,1058.15578087789,,,,,,,,,,,,,,,,,,,No,0,0,0,20175,0,0,0,0,0,0,0,0
A04,Water_control,,,,2,No Call,,CHECK,Automatic Analysis Unsuccessful,DQ,NegCtrl,Unknown,ddPCR Supermix for Probes (No dUTP),HEX,,,,,,20175,0,20175,0,,,,,,,,,,,,,,,,,,,,,,,,,2111.28213436992,2111.28213436992,,,,,,,,,,,,,,,,,,,No,0,0,0,20175,0,0,0,0,0,0,0,0
A05,Water_control,,,,1,No Call,,CHECK,Automatic Analysis Unsuccessful,DQ,NegCtrl,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,,,,,20835,0,20835,0,,,,,,,,,,,,,,,,,,,,,,,,,1074.55710167991,1074.55710167991,,,,,,,,,,,,,,,,,,,No,0,0,0,20835,0,0,0,0,0,0,0,0
A05,Water_control,,,,2,No Call,,CHECK,Automatic Analysis Unsuccessful,DQ,NegCtrl,Unknown,ddPCR Supermix for Probes (No dUTP),HEX,,,,,,20835,0,20835,0,,,,,,,,,,,,,,,,,,,,,,,,,2155.98187881883,2155.98187881883,,,,,,,,,,,,,,,,,,,No,0,0,0,20835,0,0,0,0,0,0,0,0
