Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/µL),pg/µL,Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Copies/uL linked molecules,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmaAbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Ch3+Ch4+,Ch3+Ch4-,Ch3-Ch4+,Ch3-Ch4-,Ch5+Ch6+,Ch5+Ch6-,Ch5-Ch6+,Ch5-Ch6-
A01,Positive_controls,,,,1,No Call,,CHECK,Automatic Analysis Unsuccessful,DQ,PosCtrl,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,,,,,19708,0,19708,0,,,,,,,,,,,,,,,,,,,,,,,,,13995.73676,13995.73676,,,,,,,,,,,,,,,,,,,No,0,0,0,19708,0,0,0,0,0,0,0,0
A01,Positive_controls,,,,2,No Call,,CHECK,Automatic Analysis Unsuccessful,DQ,PosCtrl,Unknown,ddPCR Supermix for Probes (No dUTP),HEX,,,,,,19708,0,19708,0,,,,,,,,,,,,,,,,,,,,,,,,,13925.926,13925.926,,,,,,,,,,,,,,,,,,,No,0,0,0,19708,0,0,0,0,0,0,0,0
A02,NTC,,,,1,0.464608669,,OK,,DQ,NTC,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,9.292173386,,,0.904950619,0.197371349,18955,7,18948,0,,,,,,,,1377.882324,,,,,,,,,,,,,,,,2143.706961,1234.242244,1234.578105,,,,,0.664575934,0.309476703,,,,,,,,,,,,,No,0,7,0,18948,0,0,0,0,0,0,0,0
A02,NTC,,,,2,No Call,,CHECK,Automatic Analysis Unsuccessful,DQ,NTC,Unknown,ddPCR Supermix for Probes (No dUTP),HEX,,,,,,18955,0,18955,0,,,,,,,,,,,,,,,,,,,,,,,,,2486.783577,2486.783577,,,,,,,,,,,,,,,,,,,No,0,7,0,18948,0,0,0,0,0,0,0,0
A03,Water_control,,,,1,0.259633958,,OK,,DQ,NegCtrl,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,5.192679405,,,0.612237751,0.078338899,19381,4,19377,0,,,,,,,,1237.503784,,,,,,,,,,,,,,,,3345.928558,1086.921175,1087.387406,,,,,0.4147259,0.149088234,,,,,,,,,,,,,No,0,4,0,19377,0,0,0,0,0,0,0,0
A03,Water_control,,,,2,No Call,,CHECK,Automatic Analysis Unsuccessful,DQ,NegCtrl,Unknown,ddPCR Supermix for Probes (No dUTP),HEX,,,,,,19381,0,19381,0,,,,,,,,,,,,,,,,,,,,,,,,,2162.168669,2162.168669,,,,,,,,,,,,,,,,,,,No,0,4,0,19377,0,0,0,0,0,0,0,0
A04,Water_control,,,,1,No Call,,CHECK,Automatic Analysis Unsuccessful,DQ,NegCtrl,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,,,,,20175,0,20175,0,,,,,,,,,,,,,,,,,,,,,,,,,1058.155781,1058.155781,,,,,,,,,,,,,,,,,,,No,0,0,0,20175,0,0,0,0,0,0,0,0
A04,Water_control,,,,2,No Call,,CHECK,Automatic Analysis Unsuccessful,DQ,NegCtrl,Unknown,ddPCR Supermix for Probes (No dUTP),HEX,,,,,,20175,0,20175,0,,,,,,,,,,,,,,,,,,,,,,,,,2111.282134,2111.282134,,,,,,,,,,,,,,,,,,,No,0,0,0,20175,0,0,0,0,0,0,0,0
A05,Water_control,,,,1,No Call,,CHECK,Automatic Analysis Unsuccessful,DQ,NegCtrl,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,,,,,20835,0,20835,0,,,,,,,,,,,,,,,,,,,,,,,,,1074.557102,1074.557102,,,,,,,,,,,,,,,,,,,No,0,0,0,20835,0,0,0,0,0,0,0,0
A05,Water_control,,,,2,No Call,,CHECK,Automatic Analysis Unsuccessful,DQ,NegCtrl,Unknown,ddPCR Supermix for Probes (No dUTP),HEX,,,,,,20835,0,20835,0,,,,,,,,,,,,,,,,,,,,,,,,,2155.981879,2155.981879,,,,,,,,,,,,,,,,,,,No,0,0,0,20835,0,0,0,0,0,0,0,0
