Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/µL),pg/µL,Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Copies/uL linked molecules,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmaAbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Ch3+Ch4+,Ch3+Ch4-,Ch3-Ch4+,Ch3-Ch4-,Ch5+Ch6+,Ch5+Ch6-,Ch5-Ch6+,Ch5-Ch6-
M01,,,,,1,961.9545288,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,740282.8125,0,971.7235718,952.2608032,73716,39405,34311,7.018941959,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B03, C03, D03, E03",500541.4063,956.9993896,966.9292603,956.9993896,,,,,,,,,,,,,FALSE,30452,8953,2590,31721,0,0,0,73716,0,0,0,73716
M01,,,,,2,747.9632568,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),HEX,,740129.5625,0,756.1743774,739.8054199,73716,33042,40674,7.018941959,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B03, C03, D03, E03",500248.5938,496.6304626,752.145874,743.7944946,,,,,,,,,,,,,FALSE,30452,8953,2590,31721,0,0,0,73716,0,0,0,73716
M01,,,,,3,No Call,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),Cy5,,,,,,73716,0,73716,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B03, C03, D03, E03",,,,,,,,,,,,,,,,,FALSE,30452,8953,2590,31721,0,0,0,73716,0,0,0,73716
M01,,,,,4,No Call,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),Cy5.5,,,,,,73716,0,73716,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B03, C03, D03, E03",,,,,,,,,,,,,,,,,FALSE,30452,8953,2590,31721,0,0,0,73716,0,0,0,73716
M01,,,,,5,No Call,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),ROX,,,,,,73716,0,73716,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B03, C03, D03, E03",,,,,,,,,,,,,,,,,FALSE,30452,8953,2590,31721,0,0,0,73716,0,0,0,73716
M01,,,,,6,No Call,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),ATTO590,,,,,,73716,0,73716,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B03, C03, D03, E03",,,,,,,,,,,,,,,,,FALSE,30452,8953,2590,31721,0,0,0,73716,0,0,0,73716
A01,,,,,1,1.6390661,,OK,,DQ,PosCtrl,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,32.78132248,,,2.340449333,1.094295025,20734,27,20707,0.120826151,,,,,,,,1354.651245,,,,,,,,,,,,,,,,4606.33804,1196.611558,1201.051735,,,,,1.974487901,1.344058633,,,,,,,,,,,,,No,2,25,7,20700,0,0,0,20734,0,0,0,20734
A01,,,,,2,0.546118081,,OK,,DQ,PosCtrl,Unknown,ddPCR Supermix for Probes (No dUTP),HEX,10.92236137,,,0.989497662,0.260408044,20734,9,20725,0.120826151,,,,,,,,2630.254395,,,,,,,,,,,,,,,,3815.973063,2323.639898,2324.287675,,,,,0.749820173,0.383168042,,,,,,,,,,,,,No,2,25,7,20700,0,0,0,20734,0,0,0,20734
A01,,,,,3,No Call,,CHECK,Invalid Droplet Measurements or Droplet Variance Exceeded,DQ,PosCtrl,Unknown,ddPCR Supermix for Probes (No dUTP),Cy5,,,,,,20734,0,20734,0,,,,,,,,,,,,,,,,,,,,,,,,,0.633287027,0.633287027,,,,,,,,,,,,,,,,,,,No,2,25,7,20700,0,0,0,20734,0,0,0,20734
A01,,,,,4,No Call,,CHECK,Invalid Droplet Measurements or Droplet Variance Exceeded,DQ,PosCtrl,Unknown,ddPCR Supermix for Probes (No dUTP),Cy5.5,,,,,,20734,0,20734,0,,,,,,,,,,,,,,,,,,,,,,,,,1.192270495,1.192270495,,,,,,,,,,,,,,,,,,,No,2,25,7,20700,0,0,0,20734,0,0,0,20734
